date,type,product,pack,quantity,price,sub_total
30/6/2023,B,swisse calcium vitamin d,150,3,15.99 ,47.97 
30/6/2023,B,swisse multivitamin men's,60,3,16.99 ,50.97 
30/6/2023,B,swisse multivitamin men's 50+,60,2,20.00 ,40.00 
30/6/2023,B,swisse multivitamin women's,60,3,17.00 ,51.00 
30/6/2023,B,swisse multivitamin women's 50+,60,2,20.00 ,40.00 
30/6/2023,B,swisse sleep,100,2,18.99 ,37.98 
30/6/2023,B,swisse high strength cranberry,90,3,37.99 ,113.97 
30/6/2023,B,swisse ultiboost liver detox,60,2,11.00 ,22.00 
30/6/2023,B,natrual life propolis,NA,5,11.30 ,56.50 
30/6/2023,B,blackmores fish oil capsules,200,5,12.50 ,62.50 
30/6/2023,B,nature's own complete sleep advanced,60,1,22.49 ,22.49 
22/8/2023,B,swisse multivitamin men's 50+,60,3,20,60
22/8/2023,B,swisse multivitamin women's 50+,60,3,20,60
22/8/2023,B,swisse sleep,100,3,21.5,64.5
11/9/2023,O,Australia domestic delivery fee,1,1,17.19,17.19
22/9/2023,O,international delivery fee,1,1,17.9,17.9
24/8/2023,B,swisse calcium vitamin d,150,3,16.99,50.97
24/8/2023,B,swisse sleep,100,2,21.99,43.98
24/8/2023,O,Australia domestic delivery fee,1,1,9.99,9.99
25/8/2023,O,international delivery fee,1,1,21.12,21.12
10/10/2023,B,swisse calcium vitamin d,150,3,16.49 ,49.47 
10/10/2023,B,swisse multivitamin men's,60,3,16.99 ,50.97 
10/10/2023,B,swisse multivitamin men's 50+,60,2,20.00 ,40.00 
10/10/2023,B,swisse multivitamin women's 50+,60,2,20.00 ,40.00 
10/10/2023,B,swisse high strength cranberry,90,2,37.99 ,75.98 
10/10/2023,B,swisse ultiboost liver detox,60,5,11.00 ,55.00 
10/10/2023,B,natrual life propolis,NA,7,12.74 ,89.18 
10/10/2023,B,blackmores fish oil mini capsules,200,3,14.50 ,43.50 
10/10/2023,B,blackmores  lutein defence,60,4,21.99 ,87.96 
10/10/2023,O,Australia domestic delivery fee,1,1,9.99,9.99
30/10/2023,O,international delivery fee,1,1,59.8,59.8
12/10/2023,S,natrual life propolis,NA,5,13 ,65 
12/10/2023,S,blackmores fish oil mini capsules,200,1,14.50 ,14.5
12/10/2023,S,blackmores  lutein defence,60,4,21.99 ,87.96 
